"cellid","center_x","center_y","slice_id","sample_id","class_label","subclass","label"
2.86799741292929e+34,3279.23600673272,2856.54434057932,"mouse1_slice91","mouse1_sample2","Glutamatergic","L6 IT","L6_IT_3"
6.19057690366594e+34,-5345.91740536655,-2808.56394813074,"mouse1_slice62","mouse1_sample2","Other","Astro","Astro_1"
8.81130801752314e+34,5254.49622877354,-2693.32341626997,"mouse1_slice81","mouse1_sample2","Glutamatergic","L2/3 IT","L23_IT_1"
9.56955222837629e+34,-4009.15561539968,2013.51396673967,"mouse1_slice102","mouse1_sample2","Glutamatergic","L5/6 NP","L56_NP_2"
9.61406716361705e+34,5047.00656916758,-3269.33906464251,"mouse1_slice81","mouse1_sample2","Other","Astro","Astro_1"
1.16547442023273e+35,-4455.26584593965,-3602.43193230214,"mouse1_slice62","mouse1_sample2","Glutamatergic","L2/3 IT","L23_IT_1"
1.18253186065841e+35,6339.35158737274,-2888.26172086858,"mouse1_slice81","mouse1_sample2","Glutamatergic","L4/5 IT","L45_IT_3"
1.19419513885155e+35,-5981.71283428339,-2657.48041311446,"mouse1_slice62","mouse1_sample2","Glutamatergic","L2/3 IT","L23_IT_3"
1.30556741276849e+35,-2824.93050430116,2216.42654948285,"mouse1_slice102","mouse1_sample2","Other","Astro","Astro_1"
1.36006367556209e+35,4179.70524640093,2029.23279337826,"mouse1_slice91","mouse1_sample2","Glutamatergic","L2/3 IT","L23_IT_1"
1.66856435298082e+35,-5616.35141060493,-3752.56288329163,"mouse1_slice62","mouse1_sample2","GABAergic","Pvalb","Pvalb_3"
1.8036531547424e+35,5055.94568090577,-3948.64390383667,"mouse1_slice81","mouse1_sample2","Glutamatergic","L5 IT","L5_IT_3"
1.87918285284149e+35,-3990.10261392878,2248.76782744079,"mouse1_slice102","mouse1_sample2","Other","Astro","Astro_1"
1.92603179254391e+35,3036.40705083131,1773.67175739938,"mouse1_slice91","mouse1_sample2","Other","Endo","Endo"
2.08439870133204e+35,312.963618243459,-2897.04802323734,"mouse1_slice71","mouse1_sample2","Glutamatergic","L6 CT","L6_CT_4"
2.31720504707756e+35,4634.19813687399,2307.7445215427,"mouse1_slice91","mouse1_sample2","Other","SMC","SMC"
2.41168113507342e+35,864.471158720533,-2678.31846842195,"mouse1_slice71","mouse1_sample2","GABAergic","Pvalb","Pvalb_3"
2.4256255910668e+35,NA,NA,"mouse1_slice91","mouse1_sample2","Other","Oligo","Oligo_1"
2.76717730860265e+35,347.773348439235,-2531.0893892111,"mouse1_slice71","mouse1_sample2","Glutamatergic","L5 ET","L5_ET_5"
2.98182356701991e+35,-2349.17375296898,1532.57783764016,"mouse1_slice102","mouse1_sample2","Glutamatergic","L2/3 IT","L23_IT_2"
3.05548038435301e+35,3748.13306392183,2907.75401224371,"mouse1_slice91","mouse1_sample2","Glutamatergic","L6 CT","L6_CT_6"
3.2767918811793e+35,-4062.1966707923,1327.17114994431,"mouse1_slice102","mouse1_sample2","Other","PVM","PVM"
3.28889618137497e+35,-2795.07645485671,2583.31200230626,"mouse1_slice102","mouse1_sample2","Glutamatergic","L6 CT","L6_CT_2"
3.4604387717673e+35,4870.78309957334,3308.05191628319,"mouse1_slice91","mouse1_sample2","Other","Oligo","Oligo_1"
3.76016147286472e+35,6199.56321615224,-3900.42207911274,"mouse1_slice81","mouse1_sample2","Glutamatergic","L6 IT","L6_IT_1"
3.82698469034773e+35,2450.08311448965,1895.99416218944,"mouse1_slice91","mouse1_sample2","Glutamatergic","L4/5 IT","L45_IT_3"
3.93896071874377e+35,1348.75014384036,-3508.22925638708,"mouse1_slice71","mouse1_sample2","Glutamatergic","L6 CT","L6_CT_4"
4.25350368740328e+35,1199.08121807736,-2066.38062482287,"mouse1_slice71","mouse1_sample2","Other","Endo","Endo"
4.35693578985091e+35,3298.41218398347,3559.09833066559,"mouse1_slice91","mouse1_sample2","Other","Oligo","Oligo_2"
4.7026837542246e+35,2612.3884662362,1715.35976844617,"mouse1_slice91","mouse1_sample2","Glutamatergic","L5 IT","L5_IT_2"
4.77315925190393e+35,2529.38876898295,1642.78198331119,"mouse1_slice91","mouse1_sample2","Glutamatergic","L2/3 IT","L23_IT_3"
4.93728484012437e+35,4543.66738839091,-3603.95228853082,"mouse1_slice81","mouse1_sample2","Glutamatergic","L2/3 IT","L23_IT_1"
5.00499083428081e+35,-1163.70981430572,2859.70877666889,"mouse1_slice102","mouse1_sample2","Other","Astro","Astro_1"
5.24899552536923e+35,-4749.35019948152,-4153.96641324954,"mouse1_slice62","mouse1_sample2","Glutamatergic","L4/5 IT","L45_IT_3"
5.47133927289999e+35,5352.66782612374,-4131.56198343845,"mouse1_slice81","mouse1_sample2","Other","Oligo","Oligo_1"
5.79912278626484e+35,3962.36731095123,2549.2072175371,"mouse1_slice91","mouse1_sample2","Glutamatergic","L5 IT","L5_IT_1"
6.1765173644773e+35,4089.18234300198,2759.09143234696,"mouse1_slice91","mouse1_sample2","GABAergic","Sst","Sst_8"
6.50943855455503e+35,NA,NA,"mouse1_slice91","mouse1_sample2","Other","Endo","Endo"
6.59887851762587e+35,-2692.54285081612,1630.66134668192,"mouse1_slice102","mouse1_sample2","GABAergic","Pvalb","Pvalb_9"
6.61767201938883e+35,-4641.39309581868,-4356.56772719096,"mouse1_slice62","mouse1_sample2","Glutamatergic","L4/5 IT","L45_IT_5"
6.65826320606613e+35,-3335.26780346236,1859.4921733902,"mouse1_slice102","mouse1_sample2","Glutamatergic","L5/6 NP","L56_NP_2"
6.9542693261132e+35,1160.46117065464,-2539.98153756672,"mouse1_slice71","mouse1_sample2","Glutamatergic","L5 IT","L5_IT_1"
7.13332903337883e+35,4890.27009337464,-3701.38181867352,"mouse1_slice81","mouse1_sample2","Other","PVM","PVM"
7.14890404969914e+35,-4713.19357053054,-4807.84868734056,"mouse1_slice62","mouse1_sample2","Glutamatergic","L4/5 IT","L45_IT_3"
7.39900016766923e+35,-2393.97774574487,1486.96176915187,"mouse1_slice102","mouse1_sample2","Glutamatergic","L2/3 IT","L23_IT_1"
7.45194674741909e+35,5116.43354286492,3136.07757339669,"mouse1_slice91","mouse1_sample2","Other","VLMC","VLMC"
7.5450058489527e+35,-4530.39204166831,-4278.08745686448,"mouse1_slice62","mouse1_sample2","Other","Peri","Peri"
7.62262054254605e+35,5973.09248605592,-4044.33863895877,"mouse1_slice81","mouse1_sample2","Glutamatergic","L6 IT","L6_IT_3"
7.72934759210551e+35,-3259.52142601162,1581.72065522958,"mouse1_slice102","mouse1_sample2","Glutamatergic","L4/5 IT","L45_IT_1"
7.73712168898635e+35,4918.36873957817,-4352.29284406361,"mouse1_slice81","mouse1_sample2","Glutamatergic","L5 ET","L5_ET_2"
7.78479078744115e+35,-3456.10067702004,2469.11468234782,"mouse1_slice102","mouse1_sample2","Other","Oligo","Oligo_1"
7.97745472507667e+35,-5406.49048405091,-3662.27634717773,"mouse1_slice62","mouse1_sample2","Glutamatergic","L5/6 NP","L56_NP_2"
8.04083287060432e+35,5420.32582924592,-4070.44736751893,"mouse1_slice81","mouse1_sample2","Glutamatergic","L6 IT Car3","L6_IT_Car3"
8.25406881549089e+35,-2855.365086165,1859.66446672518,"mouse1_slice102","mouse1_sample2","Glutamatergic","L5 IT","L5_IT_1"
8.38562345052329e+35,1567.51567193552,-2989.37232843697,"mouse1_slice71","mouse1_sample2","Glutamatergic","L5 IT","L5_IT_1"
